mturk_id;exp_condition;time
A2FHGTHU8UTP2X;CONTROL-XAB-HD;2013-07-12 20:43:05
A3IE6ATDKX6N1H;CONTROL-XAB-HD;2013-07-12 20:42:41
A3U0HJ1P3EJNU1;TRAIN-SIM-LD;2013-07-12 20:42:31
ADFUAA2FYBF7N;TRAIN-XAB-LD;2013-07-12 20:41:17
A2FOM8TJ04AWN9;TRAIN-SIM-HD;2013-07-12 20:41:08
AD1DGG7ZDRAIT;TRAIN-XAB-HD;2013-07-12 20:40:19
A2Y7MUXU4LUJK9;CONTROL-SIM-LD;2013-07-12 20:39:45
A2OJ5XOEKTKRR9;CONTROL-XAB-LD;2013-07-12 20:39:27
A2XH5IWBKCKI88;CONTROL-SIM-HD;2013-07-12 20:39:26
A1F0YN2ZBPQ9VG;CONTROL-XAB-HD;2013-07-12 20:39:23
AI5W4AW7AXERL;TRAIN-SIM-LD;2013-07-12 20:39:16
A36PE0T48PKLSR;TRAIN-XAB-LD;2013-07-12 20:38:14
A2LNEZ008UIGUS;TRAIN-SIM-HD;2013-07-12 20:37:57
A1UWEUI98JOBRI;TRAIN-XAB-HD;2013-07-12 20:37:47
A11WC4G8LOMYQO;CONTROL-SIM-LD;2013-07-12 20:37:43
A3IA77UHAVA83X;CONTROL-XAB-LD;2013-07-12 20:37:29
A279N1FT4U519I;CONTROL-SIM-HD;2013-07-12 20:36:51
A17IZWNYZEYOO0;CONTROL-XAB-HD;2013-07-12 20:36:47
AGAFY3SQF6T8O;TRAIN-SIM-LD;2013-07-12 20:35:55
AWVIOLZUKBNVU;TRAIN-XAB-LD;2013-07-12 20:35:18
A2SS2H6VH25XSC;TRAIN-SIM-HD;2013-07-12 20:34:56
A382OV019QLW6H;TRAIN-XAB-HD;2013-07-12 20:34:26
A1MZC8D6JFJQMB;TRAIN-XAB-HD;2013-07-12 20:34:11
A3O6XEJ2TJ8UFG;CONTROL-SIM-HD;2013-07-12 20:34:03
AOVS45TQ29FSJ;CONTROL-XAB-LD;2013-07-12 20:33:57
A2BLWUEXAHXJGW;TRAIN-SIM-LD;2013-07-12 20:33:47
A39POEB43BRCVP;CONTROL-SIM-LD;2013-07-12 20:33:32
A34DWBBWZRLO1X;CONTROL-SIM-LD;2013-07-12 20:33:20
A14WLAP6TCEKO0;CONTROL-SIM-HD;2013-07-12 20:33:05
A271E2WZS50YZM;CONTROL-XAB-HD;2013-07-12 20:32:44
A3QOOITS2LIP8Z;TRAIN-XAB-LD;2013-07-12 20:32:39
A3IBDA9FHUP2MM;CONTROL-XAB-LD;2013-07-12 20:32:35
A2H45V728GQPVQ;TRAIN-XAB-LD;2013-07-12 20:32:27
AQTXL6NB8MCG1;CONTROL-SIM-HD;2013-07-12 20:32:26
