"","mturk_id","train_type","stim_type","xdist","block","V1"
"96","A17IZWNYZEYOO0","CONTROL","HD",0,2,-0.166666666666667
"97","A17IZWNYZEYOO0","CONTROL","HD",0,3,0.3
"98","A17IZWNYZEYOO0","CONTROL","HD",1,0,0.1
"99","A17IZWNYZEYOO0","CONTROL","HD",1,1,0.142857142857143
"100","A17IZWNYZEYOO0","CONTROL","HD",1,2,-0.0694444444444445
"101","A17IZWNYZEYOO0","CONTROL","HD",1,3,-0.0285714285714289
"102","A17IZWNYZEYOO0","CONTROL","HD",2,0,3.14018491736755e-16
"103","A17IZWNYZEYOO0","CONTROL","HD",2,1,3.14018491736755e-16
"104","A17IZWNYZEYOO0","CONTROL","HD",2,2,-0.285714285714286
"105","A17IZWNYZEYOO0","CONTROL","HD",2,3,3.14018491736755e-16
"109","A1926T0R2ZEXOF","CONTROL","HD",0,0,0
"110","A1926T0R2ZEXOF","CONTROL","HD",0,1,-0.0833333333333335
"111","A1926T0R2ZEXOF","CONTROL","HD",0,2,-0.5
"112","A1926T0R2ZEXOF","CONTROL","HD",0,3,0.0999999999999998
"113","A1926T0R2ZEXOF","CONTROL","HD",1,0,0.333333333333333
"114","A1926T0R2ZEXOF","CONTROL","HD",1,1,0.222222222222222
"115","A1926T0R2ZEXOF","CONTROL","HD",1,2,0.125
"116","A1926T0R2ZEXOF","CONTROL","HD",1,3,-0.125
"117","A1926T0R2ZEXOF","CONTROL","HD",2,0,0.133333333333333
"118","A1926T0R2ZEXOF","CONTROL","HD",2,1,3.14018491736755e-16
"119","A1926T0R2ZEXOF","CONTROL","HD",2,2,-0.333333333333333
"120","A1926T0R2ZEXOF","CONTROL","HD",2,3,3.14018491736755e-16
"125","A1AJG4BGSRPC93","TRAIN","LD",0,0,-0.0833333333333335
"126","A1AJG4BGSRPC93","TRAIN","LD",0,1,0.5
"127","A1AJG4BGSRPC93","TRAIN","LD",0,2,0.2
"128","A1AJG4BGSRPC93","TRAIN","LD",0,3,-0.166666666666667
"129","A1AJG4BGSRPC93","TRAIN","LD",1,0,-2.55140024536113e-16
"130","A1AJG4BGSRPC93","TRAIN","LD",1,1,-0.125
"131","A1AJG4BGSRPC93","TRAIN","LD",1,2,-4.9065389333868e-17
"132","A1AJG4BGSRPC93","TRAIN","LD",1,3,0.125
"133","A1AJG4BGSRPC93","TRAIN","LD",2,0,3.14018491736755e-16
"134","A1AJG4BGSRPC93","TRAIN","LD",2,1,0.0833333333333336
"135","A1AJG4BGSRPC93","TRAIN","LD",2,2,3.14018491736755e-16
"136","A1AJG4BGSRPC93","TRAIN","LD",2,3,-0.333333333333333
"139","A1AT09XNJBAKTC","TRAIN","LD",0,0,0.25
"140","A1AT09XNJBAKTC","TRAIN","LD",0,1,0.166666666666667
"141","A1AT09XNJBAKTC","TRAIN","LD",0,2,-9.8130778667736e-17
"142","A1AT09XNJBAKTC","TRAIN","LD",0,3,-0.25
"143","A1AT09XNJBAKTC","TRAIN","LD",1,0,0.0833333333333333
"144","A1AT09XNJBAKTC","TRAIN","LD",1,1,0.122222222222222
"145","A1AT09XNJBAKTC","TRAIN","LD",1,2,0.0833333333333333
"146","A1AT09XNJBAKTC","TRAIN","LD",1,3,-0.166666666666667
"147","A1AT09XNJBAKTC","TRAIN","LD",2,0,0.333333333333333
"148","A1AT09XNJBAKTC","TRAIN","LD",2,1,0.0833333333333336
"149","A1AT09XNJBAKTC","TRAIN","LD",2,2,0.5
"150","A1AT09XNJBAKTC","TRAIN","LD",2,3,-0.5
"154","A1C89HH916IBV6","TRAIN","LD",0,0,0.55
"155","A1C89HH916IBV6","TRAIN","LD",0,1,-0.1
"156","A1C89HH916IBV6","TRAIN","LD",0,2,0.214285714285714
"157","A1C89HH916IBV6","TRAIN","LD",0,3,0
"158","A1C89HH916IBV6","TRAIN","LD",1,0,0.214285714285714
"159","A1C89HH916IBV6","TRAIN","LD",1,1,-0.0952380952380955
"160","A1C89HH916IBV6","TRAIN","LD",1,2,-0.185714285714286
"161","A1C89HH916IBV6","TRAIN","LD",1,3,0.0833333333333333
"162","A1C89HH916IBV6","TRAIN","LD",2,0,-0.142857142857143
"163","A1C89HH916IBV6","TRAIN","LD",2,1,0.2
"164","A1C89HH916IBV6","TRAIN","LD",2,2,-0.333333333333333
"165","A1C89HH916IBV6","TRAIN","LD",2,3,-0.5
"170","A1EPKYRRR8OMKY","TRAIN","HD",0,0,-0.25
"171","A1EPKYRRR8OMKY","TRAIN","HD",0,1,0.166666666666667
"172","A1EPKYRRR8OMKY","TRAIN","HD",0,2,-0.15
"173","A1EPKYRRR8OMKY","TRAIN","HD",0,3,0.166666666666667
"174","A1EPKYRRR8OMKY","TRAIN","HD",1,0,-0.25
"175","A1EPKYRRR8OMKY","TRAIN","HD",1,1,-0.0595238095238097
"176","A1EPKYRRR8OMKY","TRAIN","HD",1,2,0.0428571428571427
"177","A1EPKYRRR8OMKY","TRAIN","HD",1,3,0.1875
"178","A1EPKYRRR8OMKY","TRAIN","HD",2,0,3.14018491736755e-16
"179","A1EPKYRRR8OMKY","TRAIN","HD",2,1,0.333333333333333
"180","A1EPKYRRR8OMKY","TRAIN","HD",2,2,3.14018491736755e-16
"181","A1EPKYRRR8OMKY","TRAIN","HD",2,3,-0.333333333333333
"185","A1F0YN2ZBPQ9VG","CONTROL","HD",0,0,-0.5
"186","A1F0YN2ZBPQ9VG","CONTROL","HD",0,1,-0.133333333333333
"187","A1F0YN2ZBPQ9VG","CONTROL","HD",0,2,0.0833333333333332
"188","A1F0YN2ZBPQ9VG","CONTROL","HD",0,3,-0.166666666666667
"189","A1F0YN2ZBPQ9VG","CONTROL","HD",1,0,0.166666666666667
"190","A1F0YN2ZBPQ9VG","CONTROL","HD",1,1,-0.0952380952380954
"191","A1F0YN2ZBPQ9VG","CONTROL","HD",1,2,-0.104166666666667
"192","A1F0YN2ZBPQ9VG","CONTROL","HD",1,3,-0.194444444444445
"193","A1F0YN2ZBPQ9VG","CONTROL","HD",2,0,0.333333333333333
"194","A1F0YN2ZBPQ9VG","CONTROL","HD",2,1,3.14018491736755e-16
"195","A1F0YN2ZBPQ9VG","CONTROL","HD",2,2,3.14018491736755e-16
"196","A1F0YN2ZBPQ9VG","CONTROL","HD",2,3,3.14018491736755e-16
"201","A1F8MOWCCVDIH2","CONTROL","HD",0,0,0
"202","A1F8MOWCCVDIH2","CONTROL","HD",0,1,0.1
"203","A1F8MOWCCVDIH2","CONTROL","HD",0,2,0.166666666666667
"204","A1F8MOWCCVDIH2","CONTROL","HD",0,3,0.6
"205","A1F8MOWCCVDIH2","CONTROL","HD",1,0,0.0624999999999998
"206","A1F8MOWCCVDIH2","CONTROL","HD",1,1,0.142857142857143
"207","A1F8MOWCCVDIH2","CONTROL","HD",1,2,0.166666666666667
"208","A1F8MOWCCVDIH2","CONTROL","HD",1,3,-2.15887713069019e-16
"209","A1F8MOWCCVDIH2","CONTROL","HD",2,0,3.14018491736755e-16
"210","A1F8MOWCCVDIH2","CONTROL","HD",2,1,0.25
"211","A1F8MOWCCVDIH2","CONTROL","HD",2,2,-0.4
